question_id,question_string,answer_llm,answer_gold,precision-1,recall-1,ROUGE-1,precision-2,recall-2,ROUGE-2,factual_correctness,completeness,relevance,justification,depth,overall_score,pass
P1_Q1,"Welche spezifischen Herausforderungen identifizierten die Autoren beim Einsatz von OCR in den Agriculture- und Healthcare-PDFs, und welche Lösungsansätze wurden implementiert?","Es tut mir leid, aber ohne den spezifischen Kontext oder Text, auf den Sie sich beziehen, kann ich die Frage nicht direkt beantworten. Wenn Sie mir den relevanten Abschnitt oder die Details aus dem Dokument zur Verfügung stellen, kann ich Ihnen helfen, die spezifischen Herausforderungen und Lösungsansätze zu identifizieren, die die Autoren beim Einsatz von OCR in den Bereichen Landwirtschaft und Gesundheitswesen beschrieben haben.","Die Autoren identifizierten noisy OCR-Output als Hauptherausforderung, der die FAISS-Qualität in Agriculture- und Healthcare-PDFs erheblich degradierte und die Retrieval-Genauigkeit limitierte. Als Lösungsansätze implementierten sie eine Kombination aus TesseractOCR und easyOCR als alternative OCR-Engines, ergänzt durch regex-basierte Cleanup-Verfahren zur systematischen Nachbearbeitung des extrahierten Texts. Zusätzlich integrierten sie PyMuPDF für die Extraktion sowohl text-basierter als auch bild-basierter Inhalte und führten systematische Datenbereinigungsverfahren ein, die die Entfernung von OCR-Rauschen und Duplikaten zur Verbesserung der Retrieval-Qualität ohne Modifikation der Modelle ermöglichten.",0.21875,0.18181818181818182,0.19858156028368792,0.015873015873015872,0.013157894736842105,0.014388489208633094,0,0,0,0,0,0,False
P1_Q2,"Wie unterscheidet sich die Systemarchitektur zwischen dem Disarm RAG und den anderen vier implementierten Systemen, insbesondere hinsichtlich der Datenschutzanforderungen?","Um die Frage zu beantworten, benötige ich den spezifischen Kontext, der die Details zur Systemarchitektur von Disarm RAG und den anderen vier implementierten Systemen beschreibt. Da der Kontext nicht bereitgestellt wurde, kann ich keine genaue Antwort geben. Im Allgemeinen könnte sich die Systemarchitektur von Disarm RAG in Bezug auf Datenschutzanforderungen durch unterschiedliche Ansätze zur Datenverarbeitung, Speicherung und Zugriffskontrolle unterscheiden. Wenn du den Kontext bereitstellen kannst, helfe ich dir gerne weiter.","Das Disarm RAG-System unterscheidet sich fundamental von den anderen vier Systemen durch seine sicherheitsorientierte Architektur und Datenschutzanforderungen. Es wird auf einem sicheren Server bei CSC (Finnish IT Center for Science) gehostet, um vollständige Datenprivatsphäre zu gewährleisten, und verwendet LLaMA 2-uncensored via Ollama für offenen Zugang zu Cybersecurity-Wissen. Der entscheidende Unterschied liegt darin, dass Disarm RAG bewusst auf Quellzitationen verzichtet, während alle anderen Systeme Quellenreferenzen zur Transparenz anzeigen - diese Ausnahme erfolgt aufgrund der Sensitivität von Cybersecurity-Inhalten, um sensitive Materialien zu schützen und gleichzeitig GDPR-Risiken zu reduzieren.",0.24285714285714285,0.19767441860465115,0.21794871794871792,0.043478260869565216,0.03529411764705882,0.03896103896103896,0,0,1,0,0,1,False
P1_Q3,"Welche konkreten Metriken und Bewertungsdimensionen wurden in der Web-basierten Nutzerstudie mit 100 Teilnehmern verwendet, und was waren die Haupterkenntnisse?","Es tut mir leid, aber ohne den spezifischen Kontext kann ich nicht genau sagen, welche Metriken und Bewertungsdimensionen in der Web-basierten Nutzerstudie verwendet wurden oder was die Haupterkenntnisse waren. Bitte stelle sicher, dass der relevante Kontext oder die Details der Studie bereitgestellt werden, damit ich die Frage beantworten kann.","Die web-basierte Nutzerstudie mit 100 Teilnehmern verwendete sechs Bewertungsdimensionen auf einer Likert-Skala (1-5): Ease of Use, Relevance of Information, Transparency, System Responsiveness, Accuracy of Answers und Likelihood of Recommendation, ergänzt durch qualitative offene Feedback-Fragen. Die Haupterkenntnisse zeigten, dass Ease of Use und Accuracy of Answers konstant positive Bewertungen erhielten, während Transparency und Recommendation stärkere Variation zwischen den Systemen aufwiesen. Besonders bedeutsam war, dass 83% der Teilnehmer eine aufgabenabhängige Präferenz für KI-generierte Antworten zeigten, was darauf hinweist, dass Vertrauen in RAG-Systeme kontingent und nicht absolut ist, abhängig von Antwortrelevanz, Transparenz und Ausrichtung auf die Nutzerintention.",0.22448979591836735,0.11702127659574468,0.15384615384615383,0.0,0.0,0.0,0,0,0,0,0,0,False
P1_Q4,Warum wählten die Autoren Poro-34B für das AgriHubi-System und welche Vorteile bot dieses Modell gegenüber GPT-4o für finnischsprachige Inhalte?,"Um die Frage zu beantworten, benötige ich den spezifischen Kontext, der die Entscheidung der Autoren erläutert, warum sie Poro-34B für das AgriHubi-System gewählt haben und welche Vorteile dieses Modell gegenüber GPT-4o für finnischsprachige Inhalte bietet. Bitte füge den relevanten Kontext hinzu, damit ich eine präzise Antwort geben kann.","Die Autoren wählten Poro-34B für das AgriHubi-System, weil allgemeine Modelle wie GPT-4o bei domänenspezifischen und finnischsprachigen Anfragen erhebliche Schwächen zeigten, während Poro-34B speziell für die finnische Sprache optimiert ist. Das finnisch-optimierte Modell lieferte kontextuell relevanteren Antworten für die Verarbeitung von 200+ finnischsprachigen landwirtschaftlichen PDFs und bot bessere Kompatibilität mit Embedding-Modellen wie text-embedding-ada-002. Diese Auswahl ermöglichte es, landwirtschaftliches Wissen durch eine Streamlit-Chat-Schnittstelle mit SQLite-Logging und Feedback-Mechanismus für kontinuierliche Verbesserung zugänglicher zu machen, was die Bedeutung domänenspezifischer Sprachmodelle für mehrsprachige RAG-Anwendungen unterstreicht.",0.25,0.15,0.18749999999999997,0.0425531914893617,0.02531645569620253,0.031746031746031744,0,0,0,0,0,0,False
P1_Q5,"Welche zwölf Lessons Learned wurden dokumentiert und wie verteilen sich diese auf technische, operative und ethische Kategorien?","Es tut mir leid, aber ohne den spezifischen Kontext oder Text, auf den Sie sich beziehen, kann ich die Frage nicht direkt beantworten. Wenn Sie den relevanten Abschnitt oder die Details zu den ""Lessons Learned"" bereitstellen, kann ich Ihnen besser helfen.","Die zwölf dokumentierten Lessons Learned verteilen sich auf drei Kategorien: Technical Development (5 Lessons) umfasst die Notwendigkeit domänenspezifischer Modelle, OCR-Fehlerauswirkungen auf Pipelines, Chunking-Balance zwischen Geschwindigkeit und Genauigkeit, FAISS-Skalierungsgrenzen und manuelles Environment-Management ohne Containerization. Operational Factors (5 Lessons) beinhalten SQLite für User-Interaction-Tracking, fragile Scraping-Pipelines, Self-Hosted-Setup für Geschwindigkeit und Compliance, saubere Daten für bessere Retrieval-Qualität und nutzerfeedback-gesteuerte Systemoptimierung. Ethical Considerations (2 Lessons) betreffen Quelldatei-Referenzen für Vertrauensaufbau und Dataset-Bias-Auswirkungen auf Retrieval-Balance, wobei die technischen Aspekte den größten Anteil ausmachen und die Komplexität der praktischen RAG-Implementierung in realen Anwendungen widerspiegeln.",0.14634146341463414,0.06976744186046512,0.09448818897637795,0.0,0.0,0.0,0,0,0,0,0,0,False
P1_META_Q1,Wer sind die Autoren des Papers 'Engineering RAG Systems for Real-World Applications'?,"Es tut mir leid, aber ohne den spezifischen Kontext oder den Text des Papers kann ich die Autoren des Papers 'Engineering RAG Systems for Real-World Applications' nicht nennen. Wenn du den Kontext oder weitere Informationen bereitstellen kannst, helfe ich dir gerne weiter. Alternativ könntest du versuchen, die Informationen in einer wissenschaftlichen Datenbank oder auf der Website der Konferenz oder des Journals, in dem das Paper veröffentlicht wurde, zu finden.",Md Toufique Hasan and Muhammad Waseem and Kai-Kristian Kemell and Ayman Asad Khan and Mika Saari and Pekka Abrahamsson,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,False
P1_META_Q2,Welche Forschungsmethodik wurde im Paper 'Engineering RAG Systems for Real-World Applications' hauptsächlich angewandt?,"Um die Frage zu beantworten, benötige ich den spezifischen Kontext oder Inhalt des Papers 'Engineering RAG Systems for Real-World Applications'. Da der Kontext nicht bereitgestellt wurde, kann ich keine genaue Antwort geben. Wenn du mir mehr Informationen oder einen Auszug aus dem Paper zur Verfügung stellst, kann ich dir besser helfen.","Die Studie verwendete eine empirische Mixed-Methods-Forschungsmethodik, die sich aus der End-to-End-Entwicklung und -Implementierung von fünf domainspezifischen RAG-Systemen sowie einer strukturierten Benutzer-Evaluation zusammensetzte. In Zusammenarbeit mit fünf realen Organisationen wurden RAG-Systeme für die Bereiche Governance, Cybersecurity, Landwirtschaft, Industrieforschung und Medizinische Diagnostik entwickelt, wobei jedes System an spezifische operative Herausforderungen angepasst wurde und mehrsprachige OCR-Pipelines, semantische Retrieval-Mechanismen über Vektor-Embeddings sowie domainadaptierte LLMs integrierte. Die Evaluation erfolgte durch eine web-basierte Benutzerstudie mit 100 Teilnehmern, die mit Live-Demo-Umgebungen interagierten und realistische, domainspezifische Aufgaben durchführten, wobei sowohl quantitative Daten über Likert-Skala-Bewertungen (1-5) als auch qualitative Erkenntnisse durch offene Feedback-Fragen zu sechs Evaluationskriterien (Benutzerfreundlichkeit, Informationsrelevanz, Transparenz, Systemreaktionsfähigkeit, Antwortgenauigkeit und Weiterempfehlungswahrscheinlichkeit) erhoben wurden. Diese praxisorientierte Methodik ermöglichte es, über technische Benchmarks hinauszugehen und sowohl die technische Leistung als auch die Benutzererfahrung in realen Anwendungsszenarien zu bewerten, wodurch praktische Erkenntnisse für zukünftige RAG-Implementierungen gewonnen werden konnten.",0.0784313725490196,0.028985507246376812,0.042328042328042326,0.0,0.0,0.0,0,0,1,0,0,1,False
P2_Q1,Wie ist ein Datenpunkt im MAGPIE-Benchmark formal definiert (als Tupel) und welche Rolle spielen die Penalties und Utilities im Kontext der Multi-Agenten-Interaktion?,"Um die Frage zu beantworten, benötige ich den spezifischen Kontext oder die Details aus dem MAGPIE-Benchmark, die du erwähnst. Da der Kontext nicht bereitgestellt wurde, kann ich nur allgemein über Multi-Agenten-Interaktionen und Benchmarks sprechen.

In Multi-Agenten-Systemen werden Datenpunkte oft als Tupel definiert, die verschiedene Attribute enthalten, die für die Interaktion zwischen den Agenten relevant sind. Ein typisches Tupel könnte beispielsweise die Form (Zustand, Aktion, Belohnung, neuer Zustand) haben, was in vielen Reinforcement-Learning-Szenarien verwendet wird.

Penalties (Strafen) und Utilities (Nutzen) spielen in Multi-Agenten-Interaktionen eine entscheidende Rolle, da sie die Anreize und das Verhalten der Agenten beeinflussen. Utilities repräsentieren den Nutzen oder die Belohnung, die ein Agent aus einer bestimmten Aktion oder einem bestimmten Zustand zieht. Penalties hingegen sind negative Belohnungen, die Agenten für unerwünschtes Verhalten oder suboptimale Entscheidungen erhalten. Diese Konzepte helfen dabei, die Strategien der Agenten zu formen und zu optimieren, um bestimmte Ziele zu erreichen oder ein Gleichgewicht im System zu finden.

Wenn du spezifische Informationen aus dem MAGPIE-Benchmark benötigst, stelle bitte den relevanten Kontext oder die Details zur Verfügung, damit ich eine präzisere Antwort geben kann.","Ein Datenpunkt im MAGPIE-Benchmark ist formal als Tupel ⟨N, T, D, C, I, P, p, U⟩ definiert, wobei N eine endliche Menge von Agenten {a1, a2, ..., ak} darstellt, T eine offene Aufgabe wie Ressourcenzuteilung beschreibt, D ein Deliverable zur Aufgabenabschluss markiert, C Constraints aus öffentlichen und privaten Informationen ableitet, I öffentliche Informationen bezeichnet, P private/sensible Daten umfasst, p Penalties für Datenleckagen definiert und U Belohnungen für Teilaufgaben festlegt. Die Penalties und Utilities spielen eine zentrale Rolle in Multi-Agenten-Interaktionen, da sie realistische Trade-offs zwischen Aufgabenerfüllung und Datenschutz schaffen - Agenten müssen strategisch entscheiden, ob sie niedrig-penalisierte Informationen (pij = 1) teilen, um hoch-belohnte Ziele (uik = 5) zu erreichen, während sie sensible Daten (pil = 4) schützen.",0.17415730337078653,0.26495726495726496,0.21016949152542372,0.01694915254237288,0.02586206896551724,0.020477815699658702,0,0,1,0,1,2,False
P2_Q2,Welche spezifischen Leakage-Raten zeigten GPT-4o und Claude-3.7-Sonnet im Explicit Instruction Setting verglichen mit dem Implicit Instruction Setting?,"Um die spezifischen Leakage-Raten von GPT-4o und Claude-3.7-Sonnet im Explicit Instruction Setting im Vergleich zum Implicit Instruction Setting zu beantworten, benötige ich den entsprechenden Kontext oder die Daten aus der Studie oder dem Experiment, auf die sich die Frage bezieht. Bitte stelle sicher, dass der relevante Kontext oder die Daten bereitgestellt werden, damit ich eine genaue Antwort geben kann.","Im Explicit Instruction Setting, wo Agenten explizit über Penalties informiert wurden (Leaking private information x incurs penalty y), zeigte GPT-4o eine deutlich niedrigere Leakage-Rate von 5.7%, während Claude-3.7-Sonnet mit 21.6% deutlich schlechter abschnitt. Im Implicit Instruction Setting, das realistischere Bedingungen mit generischen Warnungen simuliert (Some information is private; avoid sharing it), verschlechterten sich beide Modelle dramatisch: GPT-4o erreichte eine Leakage-Rate von 54.3% und Claude-3.7-Sonnet sogar 66.2%. Diese Ergebnisse demonstrieren, dass selbst state-of-the-art Modelle wie GPT-4o und Claude-3.7-Sonnet zwar gute Instruktionsbefolgung zeigen, aber ein mangelndes Verständnis für kontextuelle Privatsphäre aufweisen, wenn explizite Anweisungen fehlen.",0.1864406779661017,0.11827956989247312,0.14473684210526316,0.06896551724137931,0.043478260869565216,0.05333333333333333,0,0,1,0,0,1,False
P2_Q3,Wie wurde der Datengenerierungsprozess mittels LLM-Pipeline durchgeführt und welche Verifikationsschritte wurden implementiert?,"Es tut mir leid, aber ohne den spezifischen Kontext kann ich nicht genau beantworten, wie der Datengenerierungsprozess mittels LLM-Pipeline durchgeführt wurde und welche Verifikationsschritte implementiert wurden. Bitte stelle sicher, dass du den relevanten Kontext oder die Details zur Verfügung stellst, damit ich dir eine präzise Antwort geben kann.","Der Datengenerierungsprozess wurde durch eine mehrstufige LLM-Pipeline durchgeführt, die Claude-3.7-Sonnet sowohl als Generator als auch als Verifizierer nutzte. Der Prozess begann mit manuell kuratierten Seeds für verschiedene Domänen, gefolgt von automatischer Szenario-Generierung durch das LLM, das realistische High-Stakes-Szenarien vorschlug. Jede Stufe beinhaltete strenge Verifikationsschritte: Ein Verifizierer-LLM bewertete die Realitätsnähe und den Einsatz der Szenarien, überprüfte die Aufgaben-Agent-Ausrichtung, validierte die Kohärenz von Agentenprofilen und stellte sicher, dass private Informationen natürlich motiviert waren. Zusätzlich wurden durch einen finalen Verifikationsschritt Deliverables und Constraints gegen die Aufgabenziele geprüft, um konfliktfreie und lösbare Aufgaben zu gewährleisten.",0.20833333333333334,0.10989010989010989,0.14388489208633096,0.02127659574468085,0.011111111111111112,0.014598540145985403,0,0,0,0,0,0,False
