question_id,question_string,answer_llm,answer_gold,precision-1,recall-1,ROUGE-1,precision-2,recall-2,ROUGE-2,factual_correctness,completeness,relevance,justification,depth,overall_score,pass
P1_Q1,"Welche spezifischen Herausforderungen identifizierten die Autoren beim Einsatz von OCR in den Agriculture- und Healthcare-PDFs, und welche Lösungsansätze wurden implementiert?","Die Autoren identifizierten spezifische Herausforderungen beim Einsatz von OCR in den Bereichen Landwirtschaft und Gesundheitswesen, insbesondere die Auswirkungen von fehlerhaften OCR-Ausgaben auf die Qualität der FAISS-Datenbank. Diese fehlerhaften OCR-Ausgaben führten zu einer Verschlechterung der Datenqualität, was die Effizienz und Genauigkeit der Informationsabrufsysteme beeinträchtigte. Um diese Herausforderung zu bewältigen, setzten die Autoren TesseractOCR und easyOCR ein, ergänzt durch regex-basierte Bereinigungen, um den extrahierten Text zu verbessern. Diese Maßnahmen halfen, die Genauigkeit der Textextraktion zu erhöhen und somit die Gesamtleistung der Systeme zu verbessern.","Die Autoren identifizierten noisy OCR-Output als Hauptherausforderung, der die FAISS-Qualität in Agriculture- und Healthcare-PDFs erheblich degradierte und die Retrieval-Genauigkeit limitierte. Als Lösungsansätze implementierten sie eine Kombination aus TesseractOCR und easyOCR als alternative OCR-Engines, ergänzt durch regex-basierte Cleanup-Verfahren zur systematischen Nachbearbeitung des extrahierten Texts. Zusätzlich integrierten sie PyMuPDF für die Extraktion sowohl text-basierter als auch bild-basierter Inhalte und führten systematische Datenbereinigungsverfahren ein, die die Entfernung von OCR-Rauschen und Duplikaten zur Verbesserung der Retrieval-Qualität ohne Modifikation der Modelle ermöglichten.",0.3048780487804878,0.3246753246753247,True,0.07407407407407407,0.07894736842105263,0.07643312101910828,2,1,2,1,1,7,False
P1_Q2,"Wie unterscheidet sich die Systemarchitektur zwischen dem Disarm RAG und den anderen vier implementierten Systemen, insbesondere hinsichtlich der Datenschutzanforderungen?","Die Systemarchitektur des Disarm RAG unterscheidet sich von den anderen vier implementierten Systemen insbesondere in Bezug auf die Datenschutzanforderungen. Das Disarm RAG ist auf einem sicheren Server beim Finnish IT Center for Science (CSC) gehostet, was vollständigen Datenschutz gewährleistet. Dies ist ein entscheidender Unterschied, da es sicherstellt, dass die Daten der Nutzer geschützt sind. Zudem verwendet das Disarm RAG LLaMA 2-uncensored über Ollama, um offenen Zugang zu Wissen im Bereich der Cybersicherheit zu ermöglichen. Diese Architektur ist speziell darauf ausgelegt, Echtzeiteinblicke in Cyberbedrohungen und forensische Untersuchungen zu liefern, während gleichzeitig der Datenschutz der Daten gewährleistet wird. Im Gegensatz dazu konzentrieren sich die anderen Systeme, wie das Kankaanpää City AI, mehr auf die Verarbeitung und den Abruf von Dokumenten, ohne explizit auf die gleichen Datenschutzmaßnahmen hinzuweisen.","Das Disarm RAG-System unterscheidet sich fundamental von den anderen vier Systemen durch seine sicherheitsorientierte Architektur und Datenschutzanforderungen. Es wird auf einem sicheren Server bei CSC (Finnish IT Center for Science) gehostet, um vollständige Datenprivatsphäre zu gewährleisten, und verwendet LLaMA 2-uncensored via Ollama für offenen Zugang zu Cybersecurity-Wissen. Der entscheidende Unterschied liegt darin,True, während alle anderen Systeme Quellenreferenzen zur Transparenz anzeigen - diese Ausnahme erfolgt aufgrund der Sensitivität von Cybersecurity-Inhalten, um sensitive Materialien zu schützen und gleichzeitig GDPR-Risiken zu reduzieren.",0.312,0.45348837209302323,0.3696682464454977,0.11290322580645161,0.16470588235294117,0.1339712918660287,2,1,2,1,1,7,False
P1_Q3,"Welche konkreten Metriken und Bewertungsdimensionen wurden in der Web-basierten Nutzerstudie mit 100 Teilnehmern verwendet, und was waren die Haupterkenntnisse?","In der Web-basierten Nutzerstudie mit 100 Teilnehmern wurden sechs konkrete Metriken und Bewertungsdimensionen verwendet, um die Leistung der fünf RAG-Systeme zu evaluieren. Diese Dimensionen waren:

1. **Benutzerfreundlichkeit (Ease of Use):** Wie einfach war es, das System zu nutzen?
2. **Relevanz der Informationen (Relevance of Information):** Hat das System relevante und nützliche Informationen für die Anfragen bereitgestellt?
3. **Transparenz (Transparency):** Hat das System gezeigt, woher die Informationen stammen?
4. **Systemreaktionsfähigkeit (System Responsiveness):** Wie wurde die Reaktionsfähigkeit des Systems bei der Beantwortung von Anfragen bewertet?
5. **Genauigkeit der Antworten (Accuracy of Answers):** Wie genau waren die von der KI generierten Antworten laut dem Wissen der Teilnehmer?
6. **Empfehlung (Recommendation):** Würden die Teilnehmer dieses Tool Kollegen in ihrem Bereich empfehlen?

Die Haupterkenntnisse der Studie waren, dass die Benutzerfreundlichkeit und die Genauigkeit der Antworten durchweg positiv bewertet wurden. Die Transparenz und die Bereitschaft zur Empfehlung zeigten jedoch größere Schwankungen, die teilweise auf Designentscheidungen zurückzuführen waren, wie z.B. die verborgenen Quelleninformationen im Disarm RAG-System. Dies verdeutlicht, dass die Wahrnehmung der Nutzer stark vom jeweiligen Anwendungsbereich und der Präsentation der Ergebnisse abhängt.","Die web-basierte Nutzerstudie mit 100 Teilnehmern verwendete sechs Bewertungsdimensionen auf einer Likert-Skala (1-5): Ease of Use, Relevance of Information, Transparency, System Responsiveness, Accuracy of Answers und Likelihood of Recommendation, ergänzt durch qualitative offene Feedback-Fragen. Die Haupterkenntnisse zeigten, dass Ease of Use und Accuracy of Answers konstant positive Bewertungen erhielten, während Transparency und Recommendation stärkere Variation zwischen den Systemen aufwiesen. Besonders bedeutsam war, dass 83% der Teilnehmer eine aufgabenabhängige Präferenz für KI-generierte Antworten zeigten, was darauf hinweist, dass Vertrauen in RAG-Systeme kontingent und nicht absolut ist, abhängig von Antwortrelevanz, Transparenz und Ausrichtung auf die Nutzerintention.",0.17045454545454544,0.3191489361702128,0.22222222222222224,0.02857142857142857,0.053763440860215055,0.03731343283582089,2,1,2,1,1,7,True
P1_Q4,Warum wählten die Autoren Poro-34B für das AgriHubi-System und welche Vorteile bot dieses Modell gegenüber GPT-4o für finnischsprachige Inhalte?,"Die Autoren wählten das Poro-34B-Modell für das AgriHubi-System, weil es speziell für die finnische Sprache optimiert ist. Dies bietet einen entscheidenden Vorteil gegenüber allgemeinen Modellen wie GPT-4o, die Schwierigkeiten mit domänenspezifischen und finnischsprachigen Anfragen haben. Durch die Verwendung eines finnisch-optimierten Modells wie Poro-34B konnten kontextuell relevantere Antworten geliefert werden. Dies ist besonders wichtig, da das AgriHubi-System darauf abzielt, landwirtschaftliche Inhalte in finnischer Sprache zu verarbeiten und relevante Informationen zu Themen wie nachhaltiger Landwirtschaft und Bodenschutz bereitzustellen.","Die Autoren wählten Poro-34B für das AgriHubi-System, weil allgemeine Modelle wie GPT-4o bei domänenspezifischen und finnischsprachigen Anfragen erhebliche Schwächen zeigten, während Poro-34B speziell für die finnische Sprache optimiert ist. Das finnisch-optimierte Modell lieferte kontextuell relevanteren Antworten für die Verarbeitung von 200+ finnischsprachigen landwirtschaftlichen PDFs und bot bessere Kompatibilität mit Embedding-Modellen wie text-embedding-ada-002. Diese Auswahl ermöglichte es, landwirtschaftliches Wissen durch eine Streamlit-Chat-Schnittstelle mit SQLite-Logging und Feedback-Mechanismus für kontinuierliche Verbesserung zugänglicher zu machen, was die Bedeutung domänenspezifischer Sprachmodelle für mehrsprachige RAG-Anwendungen unterstreicht.",0.3815789473684211,0.3625,0.3717948717948718,0.18666666666666668,0.17721518987341772,0.1818181818181818,2,1,2,1,1,7,True
P1_Q5,"Welche zwölf Lessons Learned wurden dokumentiert und wie verteilen sich diese auf technische, operative und ethische Kategorien?","Die zwölf dokumentierten ""Lessons Learned"" verteilen sich auf technische, operative und ethische Kategorien wie folgt:

**Technische Herausforderungen:**
1. **Scraping Pipelines Are Fragile**: Webseiten ändern sich oft, was Parser unbrauchbar macht. Ohne stabile APIs mussten semi-strukturierte Feeds und regelmäßige Skriptwartung genutzt werden.
2. **Self-Hosted Setup for Speed and Compliance**: Das Hosten von LLMs und Vektorspeichern auf eigenen Servern reduzierte GDPR-Risiken und verbesserte die Geschwindigkeit. Diese Methode balancierte Kontrolle mit Leistung in sensiblen Bereichen.
3. **Clean Data Boosts Retrieval Quality**: Das Entfernen von OCR-Rauschen und Duplikaten aus Quelldaten verbesserte die Relevanz der Antworten, ohne die Modelle zu verändern.

**Operative Herausforderungen:**
4. **User Feedback Drives System Tuning**: Benutzerbewertungen und Kommentare deckten Schwachstellen auf und leiteten Anpassungen der Abruf-Einstellungen und Chunk-Größen.

**Ethische Überlegungen:**
5. **Source File References Build Trust**: Das Bereitstellen von Dateinamen und Download-Links half den Nutzern, die KI-Ausgaben zu validieren.

Diese Lektionen spiegeln die wiederkehrenden Herausforderungen und Designüberlegungen wider, die bei der Entwicklung und Implementierung von RAG-Systemen in verschiedenen Anwendungsbereichen auftraten.","Die zwölf dokumentierten Lessons Learned verteilen sich auf drei Kategorien: Technical Development (5 Lessons) umfasst die Notwendigkeit domänenspezifischer Modelle, OCR-Fehlerauswirkungen auf Pipelines, Chunking-Balance zwischen Geschwindigkeit und Genauigkeit, FAISS-Skalierungsgrenzen und manuelles Environment-Management ohne Containerization. Operational Factors (5 Lessons) beinhalten SQLite für User-Interaction-Tracking, fragile Scraping-Pipelines, Self-Hosted-Setup für Geschwindigkeit und Compliance, saubere Daten für bessere Retrieval-Qualität und nutzerfeedback-gesteuerte Systemoptimierung. Ethical Considerations (2 Lessons) betreffen Quelldatei-Referenzen für Vertrauensaufbau und Dataset-Bias-Auswirkungen auf Retrieval-Balance, wobei die technischen Aspekte den größten Anteil ausmachen und die Komplexität der praktischen RAG-Implementierung in realen Anwendungen widerspiegeln.",0.1320754716981132,0.2441860465116279,0.17142857142857143,0.02531645569620253,0.047058823529411764,0.03292181069958847,1,1,2,1,1,6,False
P1_META_Q1,Wer sind die Autoren des Papers 'Engineering RAG Systems for Real-World Applications'?,"Die Autoren des Papers ""Engineering RAG Systems for Real-World Applications"" sind:

1. Md Toufique Hasan
2. Muhammad Waseem
3. Kai-Kristian Kemell
4. Ayman Asad Khan
5. Mika Saari
6. Pekka Abrahamsson

Alle Autoren sind von der Fakultät für Informationstechnologie und Kommunikation der Universität Tampere in Finnland.",Md Toufique Hasan and Muhammad Waseem and Kai-Kristian Kemell and Ayman Asad Khan and Mika Saari and Pekka Abrahamsson,0.30434782608695654,0.7368421052631579,0.43076923076923074,0.17777777777777778,0.4444444444444444,0.25396825396825395,2,2,2,1,1,8,True
P1_META_Q2,Welche Forschungsmethodik wurde im Paper 'Engineering RAG Systems for Real-World Applications' hauptsächlich angewandt?,"Die im Paper 'Engineering RAG Systems for Real-World Applications' hauptsächlich angewandte Forschungsmethodik umfasst die Implementierung und Bewertung von fünf RAG-Systemen in verschiedenen Anwendungsbereichen. Die Methodik beinhaltet die Entwicklung optimierter Pipelines und eine strukturierte Benutzerbewertung, um die Effektivität und Benutzerakzeptanz der Systeme zu untersuchen. Die Studie folgt einem zweiphasigen Ansatz: einer Retrieval-Phase, in der Benutzeranfragen mit vortrainierten Modellen eingebettet und mit relevanten Textstücken in Vektordatenbanken abgeglichen werden, und einer Generierungsphase, in der die abgerufenen Textstücke mit den ursprünglichen Anfragen kombiniert werden. Die Evaluation erfolgte durch eine webbasierte Benutzerstudie mit 100 Teilnehmern, die sich auf Benutzerfreundlichkeit, Relevanz der Abfrageergebnisse, Transparenz und andere benutzerzentrierte Faktoren konzentrierte.","Die Studie verwendete eine empirische Mixed-Methods-Forschungsmethodik, die sich aus der End-to-End-Entwicklung und -Implementierung von fünf domainspezifischen RAG-Systemen sowie einer strukturierten Benutzer-Evaluation zusammensetzte. In Zusammenarbeit mit fünf realen Organisationen wurden RAG-Systeme für die Bereiche Governance, Cybersecurity, Landwirtschaft, Industrieforschung und Medizinische Diagnostik entwickelt, wobei jedes System an spezifische operative Herausforderungen angepasst wurde und mehrsprachige OCR-Pipelines, semantische Retrieval-Mechanismen über Vektor-Embeddings sowie domainadaptierte LLMs integrierte. Die Evaluation erfolgte durch eine web-basierte Benutzerstudie mit 100 Teilnehmern, die mit Live-Demo-Umgebungen interagierten und realistische, domainspezifische Aufgaben durchführten, wobei sowohl quantitative Daten über Likert-Skala-Bewertungen (1-5) als auch qualitative Erkenntnisse durch offene Feedback-Fragen zu sechs Evaluationskriterien (Benutzerfreundlichkeit, Informationsrelevanz, Transparenz, Systemreaktionsfähigkeit, Antwortgenauigkeit und Weiterempfehlungswahrscheinlichkeit) erhoben wurden. Diese praxisorientierte Methodik ermöglichte es, über technische Benchmarks hinauszugehen und sowohl die technische Leistung als auch die Benutzererfahrung in realen Anwendungsszenarien zu bewerten, wodurch praktische Erkenntnisse für zukünftige RAG-Implementierungen gewonnen werden konnten.",0.3300970873786408,0.2463768115942029,0.28215767634854777,0.10784313725490197,0.08029197080291971,0.09205020920502092,2,1,2,1,1,7,True
P2_Q1,Wie ist ein Datenpunkt im MAGPIE-Benchmark formal definiert (als Tupel) und welche Rolle spielen die Penalties und Utilities im Kontext der Multi-Agenten-Interaktion?,"Ein Datenpunkt im MAGPIE-Benchmark ist formal als ein Tupel definiert: ⟨N, T, D, C, I, P, ρ, U⟩. Hierbei steht:

- **N** für eine endliche Menge von Agenten.
- **T** für eine offene Aufgabe, wie z.B. Ressourcenverteilung oder Zulassungsentscheidungen, deren Erfolg algorithmisch überprüfbar ist.
- **D** für ein Ergebnis, das den Abschluss der Aufgabe markiert.
- **I** für öffentliche Informationen, die jeder Agent frei offenlegen kann.
- **P** für private Informationen, die sensible Daten enthalten, die ein Agent nicht vollständig offenlegen darf.
- **C** für eine Menge von Einschränkungen, die aus den öffentlichen und privaten Informationen abgeleitet werden und die das Ergebnis erfüllen muss, damit die Aufgabe erfolgreich ist.
- **ρ** für Strafen, die für das Leaken privater Daten verhängt werden, wenn diese aus den Interaktionen abgeleitet werden können.
- **U** für Belohnungen, die ein Agent erhält, wenn ein Unterziel erreicht wird.

Die Penalties (Strafen) und Utilities (Belohnungen) spielen eine zentrale Rolle im Kontext der Multi-Agenten-Interaktion, indem sie ein feingranulares Feedbacksystem bieten. Strafen werden verhängt, wenn private Informationen aus den Interaktionen abgeleitet werden können, was die Einhaltung von Datenschutzrichtlinien in dynamischen, mehrstufigen Interaktionen sicherstellt. Belohnungen hingegen werden für das Erreichen von Unterzielen vergeben, was den Agenten Anreize bietet, ihre Aufgaben erfolgreich zu erfüllen. Dieses System ermöglicht es den Agenten, adaptive Strategien zu entwickeln, bei denen sie strategisch Informationen mit niedrigen Strafen offenlegen, um hoch bewertete Ziele zu erreichen, während sie gleichzeitig sensible Daten schützen.","Ein Datenpunkt im MAGPIE-Benchmark ist formal als Tupel ⟨N, T, D, C, I, P, p, U⟩ definiert, wobei N eine endliche Menge von Agenten {a1, a2, ..., ak} darstellt, T eine offene Aufgabe wie Ressourcenzuteilung beschreibt, D ein Deliverable zur Aufgabenabschluss markiert, C Constraints aus öffentlichen und privaten Informationen ableitet, I öffentliche Informationen bezeichnet, P private/sensible Daten umfasst, p Penalties für Datenleckagen definiert und U Belohnungen für Teilaufgaben festlegt. Die Penalties und Utilities spielen eine zentrale Rolle in Multi-Agenten-Interaktionen, da sie realistische Trade-offs zwischen Aufgabenerfüllung und Datenschutz schaffen - Agenten müssen strategisch entscheiden, ob sie niedrig-penalisierte Informationen (pij = 1) teilen, um hoch-belohnte Ziele (uik = 5) zu erreichen, während sie sensible Daten (pil = 4) schützen.",0.25213675213675213,0.5042735042735043,0.33618233618233617,0.11587982832618025,0.23275862068965517,0.15472779369627507,2,2,2,2,2,10,True
P2_Q2,Welche spezifischen Leakage-Raten zeigten GPT-4o und Claude-3.7-Sonnet im Explicit Instruction Setting verglichen mit dem Implicit Instruction Setting?,"Im Explicit Instruction Setting zeigte GPT-4o eine Leakage-Rate von 5,7%, während Claude-3.7-Sonnet eine Leakage-Rate von 21,6% aufwies. Im Vergleich dazu stiegen die Leakage-Raten im Implicit Instruction Setting auf 54,3% für GPT-4o und 66,2% für Claude-3.7-Sonnet.","Im Explicit Instruction Setting, wo Agenten explizit über Penalties informiert wurden (Leaking private information x incurs penalty y), zeigte GPT-4o eine deutlich niedrigere Leakage-Rate von 5.7%, während Claude-3.7-Sonnet mit 21.6% deutlich schlechter abschnitt. Im Implicit Instruction Setting, das realistischere Bedingungen mit generischen Warnungen simuliert (Some information is private; avoid sharing it), verschlechterten sich beide Modelle dramatisch: GPT-4o erreichte eine Leakage-Rate von 54.3% und Claude-3.7-Sonnet sogar 66.2%. Diese Ergebnisse demonstrieren, dass selbst state-of-the-art Modelle wie GPT-4o und Claude-3.7-Sonnet zwar gute Instruktionsbefolgung zeigen, aber ein mangelndes Verständnis für kontextuelle Privatsphäre aufweisen, wenn explizite Anweisungen fehlen.",0.5428571428571428,0.20430107526881722,0.296875,0.29411764705882354,0.10869565217391304,0.15873015873015875,2,1,2,1,1,7,True
P2_Q3,Wie wurde der Datengenerierungsprozess mittels LLM-Pipeline durchgeführt und welche Verifikationsschritte wurden implementiert?,"Der Datengenerierungsprozess mittels der LLM-Pipeline wurde in mehreren Stufen durchgeführt, um Realismus und Kohärenz sicherzustellen. Die Pipeline besteht aus den folgenden Hauptphasen:

1. **Szenariengenerierung**: 
   - **Initialisierung durch menschliche Eingabe**: Der Prozess beginnt mit einem manuell erstellten Seed, der das Zielgebiet und manuell kuratierte Beispiele aus verschiedenen Bereichen wie Auktionen, Verhandlungen und Terminplanung enthält.
   - **LLM-basierter Szenarienvorschlag**: Ein LLM wird aufgefordert, einzeilige Szenarienvorschläge im Zielgebiet zu generieren (z. B. „Drei Teams verhandeln über den Zugang zu GPUs in verschiedenen Regionen mit privaten Latenzanforderungen“).
   - **Verifikation**: Ein Verifikations-LLM bewertet, ob das Szenario realistisch, von hoher Bedeutung und innerhalb der Zielgebiete angesiedelt ist.

2. **Szenarienerweiterung und Agentenentwurf**:
   - Der Generator erweitert das Szenario zu einer detaillierten Aufgabenbeschreibung und generiert die Anzahl und Namen der beteiligten Agenten basierend auf einem Satz manuell entworfener Richtlinien.
   - Der Verifikator bestätigt, ob die erweiterte Aufgabe mit dem im vorherigen Schritt generierten Szenario übereinstimmt und ob die Agentennamen zur Aufgabenbeschreibung passen.

3. **Agentendefinition**:
   - Basierend auf der Aufgabenbeschreibung und den Agentennamen generiert der Generator für jeden Agenten spezifische Profile, die sowohl öffentliche als auch private Informationen, Strafen und Nutzenfunktionen umfassen.

In jedem Schritt wird die Generierung durch den Einsatz von LLMs als Richter (LLM-as-a-judge) überprüft, um Fehler zu minimieren. Zwei Arten von LLMs werden verwendet: ein Generator, der die Dateninhalte produziert, und ein Verifikator, der die Qualität bewertet. Für beide Aufgaben wird das Modell Claude 3.7 Sonnet Anthropic (2024) eingesetzt.","Der Datengenerierungsprozess wurde durch eine mehrstufige LLM-Pipeline durchgeführt, die Claude-3.7-Sonnet sowohl als Generator als auch als Verifizierer nutzte. Der Prozess begann mit manuell kuratierten Seeds für verschiedene Domänen, gefolgt von automatischer Szenario-Generierung durch das LLM, das realistische High-Stakes-Szenarien vorschlug. Jede Stufe beinhaltete strenge Verifikationsschritte: Ein Verifizierer-LLM bewertete die Realitätsnähe und den Einsatz der Szenarien, überprüfte die Aufgaben-Agent-Ausrichtung, validierte die Kohärenz von Agentenprofilen und stellte sicher, dass private Informationen natürlich motiviert waren. Zusätzlich wurden durch einen finalen Verifikationsschritt Deliverables und Constraints gegen die Aufgabenziele geprüft, um konfliktfreie und lösbare Aufgaben zu gewährleisten.",0.16810344827586207,0.42857142857142855,0.24148606811145512,0.021645021645021644,0.05555555555555555,0.031152647975077878,2,1,2,1,1,7,True
